,Unnamed: 0,회사명,거래소코드,회계년도,상장일,상장폐지일,소속코드,산업명,매출액증가율,유형자산증가율,재고자산증가율,비유동자산증가율,유동자산증가율,자기자본증가율,총자본증가율,순이익증가율,매출액총이익률,매출액순이익률,자기자본순이익률,총자본사업이익률,총자본순이익률,1주당매출액,1주당순이익,유동비율,당좌비율,현금비율,순운전자본비율,부채비율,이자보상배율이자비용,비유동비율,유동자산구성비율,자기자본구성비율,자기자본배율,총자본회전률,자기자본회전률,비유동자산회전률,재고자산회전률,매출채권회전률,매입채무회전률,매입채무회전기간,재고자산회전기간,매출채권회전기간,1회전기간,운전자본회전률,순운전자본회전률,유형자산회전율,유동자산회전률,당좌자산회전률,부가가치,총자본투자효율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,자본분배율,이윤분배율,label,pred_label
1281,8017,한국전자금융(주),63570,2012-12-01,2006-07-14,,5,  사업지원 서비스업,8.7,-0.18,175.31,1.28,1.28,1.28,5.38,-30.44,18.91,2.68,5.29,6.2,3.0,5397.62,151.0,127.32,122.02,87.35,10.46,68.09,3.87,86.18,48.73,59.49,581.94,1.12,1.86,2.14,78.74,11.0,56.27,6.49,4.64,33.18,0.03,0.03,1.32,3.43,2.34,2.41,6941.19,5.38,16.96,22.35,4.95,0.0,0.0,54.27,0.0,
1282,8026,한국전자인증(주),41460,2011-12-01,2010-11-19,,5,  출판업,13.78,-27.11,481.22,101.77,101.77,101.77,15.62,24.73,48.66,22.76,19.44,19.86,16.0,6284.31,1438.0,924.35,872.71,575.8,75.5,10.3,44552.04,16.92,84.66,90.66,1698.1,0.7,0.85,3.0,11.27,4.88,17.35,21.04,32.38,74.85,0.01,0.0,0.82,3.41,0.92,1.0,13773.18,23.28,167.6,823.96,47.2,31.95,68.05,48.22,0.0,
1283,8027,한국전자인증(주),41460,2012-12-01,2010-11-19,,5,  출판업,15.56,14.47,-12.02,-42.82,-42.82,-42.82,6.48,2.61,0.0,18.31,18.13,14.94,11.8,1015.33,205.0,257.54,256.38,39.39,54.54,53.56,44552.04,16.65,89.16,65.12,205.12,0.64,0.99,5.95,161.08,8.47,25.63,14.24,2.27,43.09,0.03,0.01,0.52,31.05,0.72,0.73,4171.12,12.34,594.38,1894.65,19.14,0.0,0.0,95.64,0.0,
1284,8036,한국정보공학(주),39740,2011-12-01,2000-07-06,,5,  도매 및 상품 중개업,17.19,129.32,13.47,1.81,1.81,1.81,9.09,0.0,7.06,-0.99,-2.77,-1.26,-1.76,20937.26,0.0,189.0,151.88,14.57,29.22,66.8,-1.85,63.31,62.05,59.95,1436.77,1.78,2.79,4.53,14.86,4.85,10.22,35.72,24.57,75.21,0.02,0.11,1.93,19.69,2.92,3.64,8358.09,8.48,70.38,4457.34,4.98,98.62,1.38,-19.88,0.0,
1285,8037,한국정보공학(주),39740,2012-12-01,2000-07-06,,5,  도매 및 상품 중개업,5.46,-61.91,22.72,10.7,10.7,10.7,10.83,0.0,10.14,0.14,0.43,0.87,0.24,22079.63,0.0,147.28,115.27,19.29,19.93,87.43,0.74,71.06,62.09,53.35,1451.77,1.7,3.02,4.49,13.23,4.87,9.07,40.25,27.58,74.9,0.02,0.11,1.71,21.59,2.74,3.46,13596.6,12.44,300.6,17665.95,7.68,63.36,36.64,1.82,0.0,
1286,8052,한국정보통신(주),25770,2011-12-01,1998-01-20,,5,  우편 및 통신업,19.45,7.66,-45.2,13.88,13.88,13.88,15.75,38.47,26.25,6.24,16.86,13.12,8.4,4059.99,254.0,114.44,113.09,12.06,6.22,100.66,10.0,101.77,49.28,49.84,300.78,1.35,2.7,2.65,231.87,9.14,935.19,0.29,1.57,39.94,0.02,0.0,1.46,4.86,2.73,2.76,44198.77,37.73,136.25,156.86,28.05,35.09,64.91,22.26,0.0,
1287,8053,한국정보통신(주),25770,2012-12-01,1998-01-20,,5,  우편 및 통신업,17.01,-4.3,75.63,-0.56,-0.56,-0.56,11.11,-15.17,22.71,4.53,13.38,14.95,6.75,4750.5,215.0,124.35,122.26,16.77,10.69,95.9,14.23,88.92,54.61,51.05,342.32,1.49,2.95,3.11,196.86,10.41,935.19,0.38,1.85,35.08,0.03,0.0,1.56,5.81,2.86,2.91,44326.81,34.06,142.79,165.34,24.04,40.16,59.84,18.83,0.0,
1288,8062,한국컴퓨터(주),54040,2011-12-01,2002-01-15,,5,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",-11.47,-13.57,-13.49,-40.25,-40.25,-40.25,0.65,-52.26,4.99,1.63,8.47,7.11,5.23,20761.16,358.0,215.57,169.0,59.25,42.36,59.33,315.68,33.44,79.01,62.76,816.52,2.72,5.19,11.38,17.35,10.55,10.22,35.73,21.04,34.61,0.05,0.06,2.71,14.63,4.46,6.0,26538.98,25.39,125.54,206.42,7.95,53.12,46.88,20.52,0.0,
1289,8063,한국컴퓨터(주),54040,2012-12-01,2002-01-15,,5,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",26.85,65.01,-41.26,64.24,64.24,64.24,2.2,12.51,3.26,1.45,9.05,7.52,5.8,26334.64,403.0,194.25,165.49,60.07,32.16,53.05,123.22,51.62,66.28,65.34,868.69,2.72,6.25,13.43,29.88,14.47,13.05,27.96,12.21,25.23,0.11,0.03,2.71,15.11,5.47,6.77,26171.03,24.5,75.02,173.14,6.18,50.92,49.08,23.41,0.0,
1290,8072,한라아이엠에스(주),92460,2011-12-01,2007-05-22,,5,  기타 운송장비 제조업,12.65,329.6,91.72,138.73,138.73,138.73,10.84,-34.84,31.46,9.49,7.5,8.19,6.38,4356.25,426.0,721.89,611.79,296.44,45.85,21.87,186.37,57.0,53.23,82.05,1117.67,0.67,0.79,1.93,10.36,6.42,28.46,12.83,35.24,56.83,0.01,0.0,0.92,3.03,1.03,1.15,9841.55,16.06,59.84,1332.6,25.1,58.32,41.68,37.8,0.0,
1291,8073,한라아이엠에스(주),92460,2012-12-01,2007-05-22,,5,  기타 운송장비 제조업,-1.16,-13.84,-22.76,11.92,11.92,11.92,16.14,-26.33,25.0,7.07,5.28,2.0,4.14,4305.61,307.0,1054.66,951.0,416.64,49.72,33.03,2.0,59.96,54.93,75.17,1189.19,0.58,0.75,1.28,8.79,7.85,28.62,12.75,41.53,46.48,0.01,0.0,0.97,1.98,1.08,1.23,9031.95,12.69,51.23,845.65,23.31,65.78,34.22,30.34,0.0,
1292,8090,한솔인티큐브(주),70590,2011-12-01,2004-01-08,,5,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업",5.8,-3.08,-15.89,132.54,132.54,132.54,-16.79,-29.81,32.18,2.43,5.56,3.84,3.57,4548.77,111.0,177.47,167.87,49.09,22.72,55.53,7.77,74.59,52.04,64.3,397.97,1.47,2.29,3.06,52.22,6.6,11.21,32.55,6.99,55.26,0.03,0.02,1.81,25.5,2.82,2.99,20066.39,47.11,817.28,12506.24,32.05,81.01,18.99,7.58,0.0,
1293,8091,한솔인티큐브(주),70590,2012-12-01,2004-01-08,,5,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업",-9.07,-18.96,-34.82,5.43,5.43,5.43,-2.44,0.0,30.02,-4.55,-10.31,-6.2,-6.23,4136.08,-188.0,151.58,145.66,11.24,16.39,65.5,-21.17,85.78,48.17,60.42,364.84,1.37,2.27,2.64,72.84,4.2,12.59,28.99,5.01,86.81,0.02,0.02,1.71,28.61,2.84,2.96,14896.92,35.85,748.72,13282.8,26.17,102.38,-2.38,-17.37,0.0,
